epoch,recon_mse,lr
576,0.004180,8.11e-06
577,0.004175,8.11e-06
578,0.004177,8.10e-06
579,0.004174,8.09e-06
580,0.004172,8.09e-06
581,0.004159,8.08e-06
582,0.004175,8.07e-06
583,0.004162,8.07e-06
584,0.004151,8.06e-06
585,0.004160,8.06e-06
586,0.004158,8.05e-06
587,0.004159,8.04e-06
588,0.004167,8.04e-06
589,0.004183,8.03e-06
590,0.004174,8.02e-06
591,0.004172,8.02e-06
592,0.004169,8.01e-06
593,0.004150,8.01e-06
594,0.004193,8.00e-06
595,0.004155,7.99e-06
596,0.004151,7.99e-06
597,0.004143,7.98e-06
598,0.004144,7.97e-06
599,0.004132,7.97e-06
600,0.004124,7.96e-06
601,0.004117,7.95e-06
602,0.004130,7.95e-06
603,0.004124,7.94e-06
604,0.004118,7.94e-06
605,0.004120,7.93e-06
606,0.004119,7.92e-06
607,0.004107,7.92e-06
608,0.004102,7.91e-06
609,0.004091,7.90e-06
610,0.004101,7.90e-06
611,0.004084,7.89e-06
612,0.004090,7.88e-06
613,0.004092,7.88e-06
614,0.004092,7.87e-06
615,0.004090,7.87e-06
616,0.004106,7.86e-06
617,0.004180,7.85e-06
618,0.004115,7.85e-06
619,0.004122,7.84e-06
620,0.004108,7.83e-06
621,0.004103,7.83e-06
622,0.004114,7.82e-06
623,0.004083,7.81e-06
624,0.004076,7.81e-06
625,0.004065,7.80e-06
626,0.004071,7.79e-06
627,0.004041,7.79e-06
628,0.004043,7.78e-06
629,0.004058,7.77e-06
630,0.004053,7.77e-06
631,0.004038,7.76e-06
632,0.004074,7.75e-06
633,0.004075,7.75e-06
634,0.004057,7.74e-06
635,0.004054,7.73e-06
636,0.004099,7.73e-06
637,0.004093,7.72e-06
638,0.004105,7.71e-06
639,0.004073,7.71e-06
640,0.004045,7.70e-06
641,0.004037,7.70e-06
642,0.004014,7.69e-06
643,0.004016,7.68e-06
644,0.004000,7.68e-06
645,0.003997,7.67e-06
646,0.003995,7.66e-06
647,0.004001,7.66e-06
648,0.004001,7.65e-06
649,0.004011,7.64e-06
650,0.004019,7.64e-06
651,0.004013,7.63e-06
652,0.004013,7.62e-06
653,0.004018,7.62e-06
654,0.004019,7.61e-06
655,0.004005,7.60e-06
656,0.004002,7.59e-06
657,0.004016,7.59e-06
658,0.004015,7.58e-06
659,0.004001,7.57e-06
660,0.003992,7.57e-06
661,0.004005,7.56e-06
662,0.004040,7.55e-06
663,0.004020,7.55e-06
664,0.004007,7.54e-06
665,0.003997,7.53e-06
666,0.003982,7.53e-06
667,0.003974,7.52e-06
668,0.003979,7.51e-06
669,0.003976,7.51e-06
670,0.003967,7.50e-06
671,0.003986,7.49e-06
672,0.003988,7.49e-06
673,0.003980,7.48e-06
674,0.003975,7.47e-06
675,0.003975,7.47e-06
676,0.003966,7.46e-06
677,0.003983,7.45e-06
678,0.003982,7.45e-06
679,0.003991,7.44e-06
680,0.003954,7.43e-06
681,0.003968,7.42e-06
682,0.003950,7.42e-06
683,0.004007,7.41e-06
684,0.003985,7.40e-06
685,0.003956,7.40e-06
686,0.003954,7.39e-06
687,0.003930,7.38e-06
688,0.003920,7.38e-06
689,0.003930,7.37e-06
690,0.003923,7.36e-06
691,0.003921,7.36e-06
692,0.003910,7.35e-06
693,0.003906,7.34e-06
694,0.003921,7.33e-06
695,0.003924,7.33e-06
696,0.003911,7.32e-06
697,0.003923,7.31e-06
698,0.003934,7.31e-06
699,0.003932,7.30e-06
700,0.003939,7.29e-06
701,0.003952,7.29e-06
702,0.003937,7.28e-06
703,0.003909,7.27e-06
704,0.003905,7.26e-06
705,0.003917,7.26e-06
706,0.003925,7.25e-06
707,0.003911,7.24e-06
708,0.003909,7.24e-06
709,0.003903,7.23e-06
710,0.003878,7.22e-06
711,0.003894,7.22e-06
712,0.003902,7.21e-06
713,0.003887,7.20e-06
714,0.003881,7.19e-06
715,0.003871,7.19e-06
716,0.003883,7.18e-06
717,0.003884,7.17e-06
718,0.003873,7.17e-06
719,0.003880,7.16e-06
720,0.003875,7.15e-06
721,0.003915,7.14e-06
722,0.003898,7.14e-06
723,0.003891,7.13e-06
724,0.003884,7.12e-06
725,0.003868,7.12e-06
726,0.003859,7.11e-06
727,0.003871,7.10e-06
728,0.003863,7.09e-06
729,0.003868,7.09e-06
730,0.003843,7.08e-06
731,0.003849,7.07e-06
732,0.003853,7.07e-06
733,0.003845,7.06e-06
734,0.003853,7.05e-06
735,0.003859,7.04e-06
736,0.003857,7.04e-06
737,0.003844,7.03e-06
738,0.003856,7.02e-06
739,0.003867,7.02e-06
740,0.003846,7.01e-06
741,0.003852,7.00e-06
742,0.003853,6.99e-06
743,0.003836,6.99e-06
744,0.003834,6.98e-06
745,0.003828,6.97e-06
